id,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호,enemies_idx,is_leader,is_piano,is_at_risk,gender_m,is_athletic,grade_val,assigned_class
202501,Andy,boy,90,a,노래,202502.0,202503.0,,,,,[2],0,0,0,1,0,90.0,1
202502,Briada,girl,51,b,댄스,,,,yes,,,[],0,1,0,0,0,51.0,4
202503,Charlie,boy,91,c,야구,,,yes,,,yes,[],1,0,0,1,1,91.0,3
202504,Kevin W,boy,60,f,미술,,202677.0,,,,,[176],0,0,0,1,0,60.0,4
202505,Matthew G,boy,96,f,댄스,,,,,yes,,[],0,0,1,1,0,96.0,4
202506,Kimberly T,girl,72,f,밴드,202517.0,,,,,,[],0,0,0,0,0,72.0,2
202507,Joshua H,boy,63,b,축구,,,,,,,[],0,0,0,1,0,63.0,3
202508,Jessica J,girl,95,c,밴드,,,,,,,[],0,0,0,0,0,95.0,1
202509,Jennifer H,girl,98,d,야구,,202536.0,,yes,,,[35],0,1,0,0,0,98.0,1
202510,John G,boy,68,a,코딩,,,,,,,[],0,0,0,1,0,68.0,4
202511,Jessica S,girl,64,c,코딩,,,,,,yes,[],0,0,0,0,1,64.0,5
202512,Lauren S,girl,88,b,미술,,,,,,,[],0,0,0,0,0,88.0,5
202513,Robert B,boy,98,b,연극,,,,,,,[],0,0,0,1,0,98.0,5
202514,Emily G,girl,94,d,봉사,,,,,,,[],0,0,0,0,0,94.0,0
202515,Ashley B,girl,81,a,봉사,,202502.0,,,yes,,[1],0,0,1,0,0,81.0,3
202516,Justin J,boy,96,e,독서,,,,,,yes,[],0,0,0,1,1,96.0,1
202517,Robert B,boy,93,a,코딩,,,,,,,[],0,0,0,1,0,93.0,1
202518,Andrew J,boy,71,b,야구,,,,,,yes,[],0,0,0,1,1,71.0,1
202519,Emily M,girl,61,f,축구,,,,,,yes,[],0,0,0,0,1,61.0,5
202520,Lauren G,girl,83,a,댄스,,,,,,,[],0,0,0,0,0,83.0,0
202521,Jennifer M,girl,74,a,연극,,202568.0,yes,,,,[67],1,0,0,0,0,74.0,0
202522,Ryan T,boy,68,c,미술,,,yes,,,yes,[],1,0,0,1,1,68.0,1
202523,Brandon G,boy,97,a,연극,,,,yes,yes,,[],0,1,1,1,0,97.0,0
202524,Lauren J,girl,67,e,미술,,,,yes,,,[],0,1,0,0,0,67.0,1
202525,John M,boy,64,d,독서,,,,,,,[],0,0,0,1,0,64.0,0
202526,Joshua S,boy,76,b,밴드,,,,,,,[],0,0,0,1,0,76.0,0
202527,James T,boy,96,a,미술,,,,,,,[],0,0,0,1,0,96.0,5
202528,Daniel G,boy,75,d,야구,,,,,,,[],0,0,0,1,0,75.0,0
202529,Chris M,boy,95,a,야구,,,,yes,,,[],0,1,0,1,0,95.0,3
202530,John S,boy,60,f,밴드,,,,,,,[],0,0,0,1,0,60.0,5
202531,Jennifer S,girl,77,f,봉사,,,,,,,[],0,0,0,0,0,77.0,0
202532,David G,boy,81,e,연극,,,,,,,[],0,0,0,1,0,81.0,3
202533,Kevin J,boy,72,b,댄스,,,,,,,[],0,0,0,1,0,72.0,2
202534,Nicholas W,boy,98,f,봉사,,,,yes,,,[],0,1,0,1,0,98.0,0
202535,Jennifer W,girl,83,f,코딩,,,,yes,,,[],0,1,0,0,0,83.0,5
202536,Robert M,boy,61,c,독서,,,,,,,[],0,0,0,1,0,61.0,5
202537,Matthew H,boy,83,f,코딩,,,,,yes,,[],0,0,1,1,0,83.0,0
202538,Chris J,boy,81,b,축구,,,,,,,[],0,0,0,1,0,81.0,2
202539,Robert M,boy,77,a,밴드,,,,,,,[],0,0,0,1,0,77.0,2
202540,Emily W,girl,93,c,댄스,,,,yes,,,[],0,1,0,0,0,93.0,0
202541,Lauren M,girl,65,c,밴드,,,,,,,[],0,0,0,0,0,65.0,2
202542,Ryan M,boy,97,f,축구,,,yes,,,,[],1,0,0,1,0,97.0,3
202543,Justin T,boy,79,f,축구,,,,,,,[],0,0,0,1,0,79.0,2
202544,Jennifer L,girl,75,f,댄스,,,,,,,[],0,0,0,0,0,75.0,2
202545,William G,boy,97,e,미술,,,yes,,yes,,[],1,0,1,1,0,97.0,3
202546,David M,boy,69,e,축구,,,,,,,[],0,0,0,1,0,69.0,4
202547,Brian J,boy,98,d,야구,,,,,,yes,[],0,0,0,1,1,98.0,4
202548,David W,boy,90,c,독서,,,,,,,[],0,0,0,1,0,90.0,0
202549,Daniel D,boy,76,d,코딩,,,,,,,[],0,0,0,1,0,76.0,2
202550,Daniel J,boy,62,e,봉사,,,,,,,[],0,0,0,1,0,62.0,4
202551,David G,boy,67,b,독서,,,,,,,[],0,0,0,1,0,67.0,5
202552,Matthew D,boy,64,f,미술,,,,,,,[],0,0,0,1,0,64.0,4
202553,Michael B,boy,90,d,축구,,,,,,yes,[],0,0,0,1,1,90.0,2
202554,Lauren D,girl,95,b,연극,,,,yes,,,[],0,1,0,0,0,95.0,2
202555,Ashley S,girl,89,e,야구,,,,yes,yes,,[],0,1,1,0,0,89.0,5
202556,Kevin D,boy,78,c,노래,,,,,,,[],0,0,0,1,0,78.0,5
202557,James G,boy,84,c,노래,,,,,,yes,[],0,0,0,1,1,84.0,4
202558,Kevin D,boy,66,b,밴드,,,,,,yes,[],0,0,0,1,1,66.0,5
202559,David J,boy,63,c,코딩,,,,,yes,,[],0,0,1,1,0,63.0,1
202560,Kevin M,boy,92,e,미술,,,,,,,[],0,0,0,1,0,92.0,1
202561,James M,boy,62,d,봉사,,,,,,,[],0,0,0,1,0,62.0,1
202562,Justin J,boy,78,f,코딩,202545.0,202619.0,,,,,[118],0,0,0,1,0,78.0,2
